,Unnamed: 0,x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle
60,60,176.573981016,14.8196538247,1197.33652455,2.6657242891,0.0288612976089,40.1117763669,11257.8741,0.0930401518311,0,15.0
61,61,177.537236775,14.8818695429,1326.3143465,2.60358095622,0.120701915052,40.8725530509,11683.8315,0.0815326753026,1,15.0
62,62,176.248181818,15.7945454545,1407.23132114,2.68395908382,0.113564190091,44.1358914359,11358.864,0.0909310782408,2,15.0
63,63,178.590933333,17.4357333333,1235.91863466,2.60543022679,0.197143215296,40.8677095193,11288.871,0.0820863479094,3,15.0
64,64,177.546728972,14.9475597092,1216.80854458,2.61674454713,0.143804253065,37.275028105,11638.836,0.082741935834,4,15.0
65,65,179.920627144,17.8383145517,1334.85020156,2.70137062132,0.120724971841,39.24106423,12256.7742,0.0738008458794,9,15.0
66,66,177.536394177,16.8639417693,1152.89639468,2.65240916076,0.0961498685036,36.7945657876,11388.861,0.0788443542841,10,15.0
67,67,179.186246418,17.7316141356,1368.19724072,2.57587811086,0.0997409975807,42.470305944,11702.8296,0.0868152714614,11,15.0
68,68,177.478092069,16.5673876872,1189.22412638,2.65046380897,0.130843681757,37.5961038291,11187.8811,0.0807916448142,12,15.0
69,69,177.39635996,15.8316481294,1366.71907966,2.59763834564,0.0730839321872,42.8395262584,11660.8338,0.07055870264,13,15.0
70,70,178.282077393,16.6685336049,1322.94193197,2.64180321679,0.15193396557,39.0685499257,11810.8188,0.071401142518,16,15.0
71,71,179.048151751,17.7358949416,1361.17226562,2.66096585841,0.173274420615,39.0608772722,11985.8013,0.0764137492864,21,15.0
72,72,179.222329163,17.864773821,1324.82368615,2.61841777526,0.092127720637,38.8903969467,11941.8057,0.0850592127867,22,15.0
73,73,180.131868132,19.5847310584,1156.90174521,2.63293198299,0.0666083256569,38.8087340789,11274.8724,0.0812635060912,24,15.0
74,74,181.091085271,18.8716085271,1351.25225008,2.6522441865,0.153321535596,39.2805886651,12134.7864,0.0750941950406,25,15.0
75,75,180.227701994,19.5981112277,1225.50202248,2.67219172299,0.051239908874,38.5782378535,11361.8637,0.0833570745219,27,15.0
76,76,180.230188679,18.6405660377,1331.16584294,2.63037410353,0.199833568865,40.8140470712,11889.8109,0.0796442603505,28,15.0
77,77,180.353954082,19.4119897959,1045.27775476,2.67010566939,0.10116827927,35.998085942,11266.8732,0.0918426020309,29,15.0
78,78,177.290620195,18.606355715,1214.98109918,2.7358507907,0.199421160658,39.8558638378,10871.9127,0.104391708106,30,15.0
79,79,173.99147541,21.4373770492,1072.08207977,2.38176129896,0.17393889944,51.3193389006,9389.061,0.11778983633,32,15.0
80,80,173.71995119,22.4490543014,1036.86123533,2.26413262029,0.314260939433,56.3030201001,8956.1043,0.104383517401,34,15.0
81,81,176.771643664,24.517565872,1052.28794124,2.36969045938,0.17761475145,50.8319770864,9505.0494,0.112173712019,35,15.0
82,82,178.820178042,25.9388724036,1138.62001305,2.33639759228,0.414050396265,57.4378048125,9307.0692,0.108757582083,36,15.0
83,83,177.510757717,25.6370439663,674.012237975,2.26227035643,0.222128448091,42.8744922192,8410.1589,0.123136163998,38,15.0
84,84,175.856119074,23.4184123484,1156.34317565,2.48545936781,0.0344992130552,54.8211207861,9623.0376,0.122898087725,39,15.0
85,85,175.216641679,24.0262368816,932.632813194,2.26040821034,0.367415924357,51.7352535055,8391.1608,0.108822801667,40,15.0
86,86,176.143514965,24.9969301612,902.345163167,2.35541211506,0.122822994274,49.8609760154,8665.1334,0.103063100966,44,15.0
87,87,176.991823385,25.1210139002,835.883305355,2.15658492635,0.20818518794,53.9940974023,8650.1349,0.127204304662,46,15.0
88,88,177.266586248,25.648371532,1150.62617725,2.32583953739,0.252883971939,52.7428163274,8910.1089,0.1047814797,47,15.0
89,89,177.700739744,25.4075319435,920.880298123,2.24282461932,0.166332769015,46.4465516874,8644.1355,0.115754877222,51,15.0
90,90,176.147435897,25.4551282051,631.315299125,2.4403131367,0.559762244529,44.5158223742,7854.2145,0.134754187274,54,15.0
91,91,178.196254682,26.1138576779,881.583243008,2.29377924417,0.375019329649,58.1118542208,8326.1673,0.113236066536,56,15.0
92,92,178.341806627,24.8928733545,1355.57035308,2.5916693243,0.0597683820625,56.6102916404,10182.9816,0.0976336057678,57,15.0
93,93,177.259063942,25.7053394858,982.585969262,2.20743634432,0.247851443958,59.5899203507,8979.102,0.113858574147,58,15.0
94,94,180.73580786,26.7132459971,858.470213355,2.32463548347,0.353534670223,49.358913286,8536.1463,0.115067202575,59,15.0
95,95,177.915083135,24.6935866983,1090.4398867,2.40878735717,0.205669574262,46.6221329231,9369.063,0.102965386645,60,15.0
96,96,178.994612069,25.7483836207,1383.40889931,2.33450042651,0.328697185039,65.5926633292,9283.0716,0.116961342777,61,15.0
97,97,177.583640383,25.0073691968,927.863882237,2.14747370901,0.333560856946,58.1196978556,8332.1667,0.112219814328,62,15.0
98,98,180.314189189,24.7817567568,953.833444885,2.53569117397,0.0908374991429,47.0471901869,9634.0365,0.102162917197,63,15.0
99,99,179.262436548,25.8441624365,1279.53276375,2.45569885222,0.409893351337,53.2597394047,9549.045,0.105868348612,64,15.0
100,100,178.054882395,25.5516749822,945.380823426,2.27603336286,0.242164155398,54.5800760495,8848.1151,0.119935851109,66,15.0
101,101,180.81595092,25.8696319018,825.56057049,2.45886402022,0.479128335936,44.3169017901,8642.1357,0.121239313986,67,15.0
102,102,180.174319066,25.9167315175,843.110753869,2.07917223876,0.368794124915,54.4577374094,8557.1442,0.126745365956,69,15.0
